definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
slow,1993-10-04,1993-11-22,-0.0869962395132372,35,0.05258901544481097,0.07543849921383926,0.3298120640932758,-0.014051382620977937,-4.43886245885547,True,0.12757299357892582,-0.0719487450041908,-0.08416592785572818,0.6393939551894069,0.3606060448105931,0.21121193247271183,0,36,True,False,FITS-NONE,1993-09-30,returns-only
fast,1994-04-06,1994-04-20,-0.05475060647506369,10,0.05861081904470303,0.0945083040122549,0.2234963731818751,-0.023063341675071403,-4.689336673276542,False,-0.03301811174161684,-0.09367615405406693,-0.05011888444679158,-0.5443319712090322,1.5443319712090322,0.24390180564390407,0,11,True,False,Route 2,1994-03-31,returns-only
fast,1998-10-15,1998-10-29,-0.08086114222167429,10,0.08065220235960424,0.26205079091310124,0.4178677205199859,0.09141591106839764,-5.032965009073086,True,0.2943596999959708,0.08293011809188355,-0.08058540056434083,1.392235170429008,-0.39223517042900796,0.2033203059328925,0,11,True,False,FITS-NONE,1998-09-30,returns-only
fast,1998-12-28,1999-01-12,-0.064337959723486,10,0.11612031331182486,0.2623520674070005,0.594624618688312,0.024627939676157284,-2.7813737779805927,False,0.1357912365787055,0.029876636432111914,-0.05488777311669302,1.282082322840859,-0.28208232284085905,0.6641081794515609,0,11,True,False,FITS-NONE,1998-11-30,returns-only
fast,1999-04-05,1999-04-19,-0.10972049310539389,10,0.11056979909870172,0.18462834658750654,0.7489682317817621,-0.0010347781661252942,-4.981400965969662,False,0.09266811776818851,-0.06384288442632635,-0.09859199926921125,0.5920869234037541,0.4079130765962459,-0.27185595383214417,0,11,True,False,FITS-NONE,1999-03-31,returns-only
slow,1999-04-08,1999-05-25,-0.18853898482506992,33,0.1092085998944638,0.18443344086442398,0.7328047187182158,-0.01516640724944096,-4.7707606173544335,True,0.3042575814738542,-0.10451446857336577,-0.1858611634749927,0.7443209031505637,0.2556790968494363,0.2851091205405726,0,34,True,False,FITS-NONE,1999-03-31,returns-only
fast,2000-03-31,2000-04-14,-0.16928428912591909,10,0.20113016653627339,0.20803720051952262,0.4141308827853867,-0.12531698125303203,-4.225126452317146,False,-0.05632542668595608,-0.22336778038191318,-0.1570727681760702,-0.3371924870531761,1.3371924870531762,0.26223361444150095,0,11,True,False,Route 2,2000-02-29,returns-only
slow,2000-03-10,2000-05-26,-0.28824424267750415,54,0.13791834211195073,0.19288562762801842,0.44934070597108344,-0.11453443887490067,-4.5148362574465395,True,0.09445248251105842,-0.30689997340164443,-0.285112517345285,0.23533550404286685,0.7646644959571332,0.6805154449193203,0,55,True,False,Route 2,2000-02-29,returns-only
fast,2000-10-16,2000-10-30,-0.08307795804549589,10,0.14534741727698783,0.18992955986125754,0.39916944880422167,0.012967932939991211,-2.8693185424938243,True,0.005310235821079923,-0.08110569411680746,-0.07033274166232828,0.061449732993635854,0.9385502670063641,0.5292207225680299,0,11,True,False,Route 2,2000-09-30,returns-only
fast,2001-01-02,2001-01-17,-0.18114065471174512,10,0.15224897408222768,0.24016712605259646,0.07556770953751069,0.011956847777044644,-5.972577978581713,True,0.31348645812093245,-0.031520215151547126,-0.19096696685520398,0.9086388247144047,0.09136117528559534,0.32204126977542774,0,11,True,False,FITS-NONE,2000-12-31,returns-only
