formation,sigma,calendar_state,var_uncond,var_scaled,var_state,var_terc,es_scaled,prob_below_level,prob_below_own_var,realised,weight_l2_norm,earnings_weight_in_window,fomc_in_window
2020-04-30,0.3050068673703983,False,-0.06695474943389826,-0.09248943474961595,-0.08722777475082306,-0.0847605104260806,-0.14997110780889875,0.1791044776119403,0.09426551453260015,0.17997472609567522,0.2824843127806486,0.01426833999906806,False
2020-05-31,0.39612531106103044,True,-0.0710186981658755,-0.12169007344421127,-0.1295358453642175,-0.11540579220459844,-0.19690408131062667,0.23124516627996908,0.13921113689095127,-0.24789194195148867,0.3092799012482032,0.0002771882362514935,True
2020-06-30,0.5576833581907646,False,-0.07560180963808652,-0.18300144777956212,-0.17674679918196895,-0.19334131747673203,-0.3011721134946739,0.28821292775665397,0.20076045627376427,0.023917610836646563,0.3270361365480452,0.022944507901584758,False
2020-07-31,0.5953228136106283,False,-0.07558330257754561,-0.19134126725229797,-0.18860255160994754,-0.20558422578148536,-0.3196131892777486,0.29394166043380704,0.2094240837696335,-0.07760848303205525,0.32893130856688635,0.02482644944623529,False
2020-08-31,0.6134751003489528,False,-0.07557404904727517,-0.19597746490132884,-0.19264530050895606,-0.21167291487004763,-0.3274003721453063,0.296759941089838,0.2106038291605302,-0.060368282625229974,0.33330311938542767,0.007092367708814805,False
2020-09-30,0.6261332444195717,False,-0.07686365826014718,-0.1995758156331471,-0.19465468575424996,-0.21585687554000302,-0.3322112453077348,0.3009427121102248,0.2095721537345903,0.031196406491210693,0.3333183730896353,0.03949257594504619,False
2020-10-31,0.6087042459449683,True,-0.07573135906187278,-0.19286109609878513,-0.20470007431274115,-0.20929025326056158,-0.3193146823588078,0.29336188436830835,0.20556745182012848,-0.14578936557250055,0.322053812189803,0.0319880473382998,True
2020-11-30,0.6561377508071318,False,-0.08145424801971868,-0.20983789305648673,-0.20276258213640308,-0.2284465592572513,-0.3441143417152527,0.3131597466572836,0.21252638986629135,-0.05099888454472645,0.31438972020309514,0.03821961595198001,False
2020-12-31,0.5404350174464707,False,-0.08178327381270598,-0.17257183185550093,-0.16550403894554822,-0.1867428841684487,-0.2819154125224961,0.28135828135828134,0.17463617463617465,-0.06535908732603557,0.3381309748700224,0.07241221616696258,False
2021-01-31,0.5153971316598503,True,-0.0818015530234275,-0.16419502726845106,-0.17703399105058634,-0.17796171307118588,-0.2674408366264079,0.2756497948016416,0.16347469220246238,-0.051131915724652255,0.34307367228781593,0.19085747712383289,False
2021-02-28,0.502422354023903,False,-0.08500347883389803,-0.16067852834738947,-0.1526732211786126,-0.17386359768783094,-0.25988496727882043,0.2775151924375422,0.15259959486833222,-0.11707625698333235,0.19239693223626625,0.023792335714522394,False
2021-03-31,0.5258930987881665,True,-0.09312702887919642,-0.17414804498472772,-0.18595614385948903,-0.18570642738735652,-0.2730694977730841,0.2878989361702128,0.15159574468085107,0.05542969681156573,0.178956442161263,0.13573757243136633,False
2021-04-30,0.515524778389465,False,-0.09223145805505825,-0.16942912226636492,-0.15557509889129068,-0.18202884295080873,-0.2664115860899504,0.2804718217562254,0.14875491480996067,-0.10484964372896144,0.17135638820812818,0.05767431890497859,False
2021-05-31,0.39174579131080367,False,-0.0944676554138958,-0.1274769557351271,-0.11793006627543733,-0.13831237907828214,-0.20149631455264644,0.24369747899159663,0.09437621202327084,-0.019596859526537447,0.17683775853526404,0.001507417605073362,False
2021-06-30,0.37614867063029483,True,-0.09371770691186602,-0.12023274134313597,-0.13282038834084892,-0.13262904827959654,-0.19254754947351382,0.23518164435946462,0.08731676226896112,-0.046453926229786946,0.17404538195501126,0.12047916079494063,False
2021-07-31,0.36161386067693085,False,-0.09317885264556552,-0.11537935637528432,-0.10614377978120945,-0.12693516140855302,-0.18423716194961137,0.22327044025157233,0.0779874213836478,0.02725695850634735,0.1422683168125478,0.058464060174895055,False
2021-08-31,0.31535909065571693,False,-0.0930367354001445,-0.10017803475954609,-0.09151444878671952,-0.11020244991119268,-0.15992810611989913,0.19106699751861042,0.06017369727047146,0.0009029320465769874,0.11235871747100475,0.00914357476948026,False
2021-09-30,0.23820375093439,False,-0.09110554256521368,-0.07546329569982846,-0.06865894926877456,-0.08553495906018586,-0.12024752431087349,0.1401468788249694,0.03243574051407589,0.023716857302486183,0.13952799934790924,0.005012408665506684,False
2021-10-31,0.22601874575877312,True,-0.08952443126236666,-0.07087118108587248,-0.07949041944665465,-0.07989927903580414,-0.11358439478385621,0.12749244712990937,0.0283987915407855,0.015269038151038972,0.11835661527094042,0.0969346735337398,True
2021-11-30,0.19125108027765558,False,-0.08920751623266458,-0.05939947496342007,-0.05459185770154613,-0.06594103904964912,-0.09567869701906198,0.1001788908765653,0.022063208109719738,-0.08469690949611297,0.2620244284527582,0.0,False
2021-12-31,0.21259235210036703,True,-0.08899678036730724,-0.06815873078959292,-0.07506514040686033,-0.08223191949467454,-0.10755244313233189,0.11771630370806356,0.02766333137139494,0.003860968988072422,0.2680829989017441,0.22114202460713775,False
2022-01-31,0.21070448533017042,False,-0.08896615504466511,-0.06730614888866672,-0.06283470846610742,-0.0811468523433516,-0.10614139520558583,0.11518324607329843,0.027341477603257707,0.012903729751376325,0.27437895305876786,0.040705966765281855,False
2022-02-28,0.23352361801403226,False,-0.08841088944558173,-0.0744425226575905,-0.06889878810960724,-0.08959791585457454,-0.1171415896879942,0.14039125431530494,0.035097813578826235,0.2270528078703058,0.19789343402277024,0.004853759540443055,False
2022-03-31,0.33038414372724706,False,-0.08896516404971977,-0.10830229872386245,-0.1002198474644592,-0.11448552310548088,-0.16592804544897533,0.2021578648495173,0.07211811470755253,0.057057212906985066,0.32560582519008857,0.0037605537011826057,False
2022-04-30,0.35203716913316474,True,-0.08831307628014562,-0.11258419098368153,-0.12365263849205335,-0.12115538294361365,-0.1760892530547169,0.21055586749017405,0.08366086468276249,0.024487288592296652,0.1889134505796411,0.058953103131567146,True
2022-05-31,0.38677014766882856,False,-0.08574484014268303,-0.12351747552411185,-0.1163747110050874,-0.13219328909257966,-0.19269423891030665,0.23085460599334073,0.10432852386237514,0.06556770975884962,0.28342033985392434,0.0,False
2022-06-30,0.4104545703767562,False,-0.08554791973310556,-0.13072485710533518,-0.12282983539041141,-0.1400994639980282,-0.20369312346609061,0.23642347778387274,0.11245200219418541,-0.06724629802846194,0.18156819559049817,0.09447671694501102,False
2022-07-31,0.4514977782039257,False,-0.08555010893782386,-0.1430506990445459,-0.13269788360531046,-0.15393056607894856,-0.22319025160144268,0.255700325732899,0.13137893593919653,-0.1297674290503561,0.1643181956165383,0.0565827354457192,False
2022-08-31,0.4716474681929758,False,-0.08897309200928247,-0.14897547564707841,-0.13649912809294265,-0.16037968472122682,-0.23226003837645923,0.26541554959785524,0.13404825737265416,-0.025105421378384007,0.20704650210809392,0.0022255933868897365,False
2022-09-30,0.4166798854047119,False,-0.08880214210732623,-0.12987244989922805,-0.11991904450486482,-0.1404296296779235,-0.20440093426404582,0.23966065747614,0.10869565217391304,0.09180153570304994,0.17194466664846494,0.001168439833654581,False
2022-10-31,0.4121961517901425,True,-0.0881703054864683,-0.12783775092881203,-0.14311334823985378,-0.12531471449634696,-0.20142702706658494,0.2370214997378081,0.10749868904037756,-0.0789299302153964,0.16892813473608065,0.049354234203783647,True
2022-11-30,0.42408195365746926,True,-0.08924211797500331,-0.13106964782863448,-0.14653803804937618,-0.12157974193783473,-0.20645424447011515,0.24429460580912862,0.11203319502074689,-0.018445244814555672,0.17378737675888697,0.0,True
2022-12-31,0.4033309184985383,False,-0.08910531220797768,-0.12391349973414305,-0.1154288159899033,-0.1146055376252409,-0.19561312681463658,0.2344792201128784,0.10107747562852745,-0.0807957131639142,0.16855448764658948,0.00010633781556775566,False
